name,smiles,PeroxyAlkyl(RO2),PeroxyAcid(RCO3),Alcoxy(RO),Alcohol(C-H),Unsaturated(>C=C<),Aldehyde(-CHO),Carbonyl(>C=O),Nitrate(-ONO2),HydroPeroxide(-OOH),PAN(-C(O)OONO2)
DECNO3,CCCCCCCC(CC)ON(=O)=O,0,0,0,1,0,0,0,1,0,0
M23C4OH,OCC(C)C(C)C,0,0,0,3,0,0,0,0,0,0
C4ECO2O,CCC([O])(C=O)C(=O)C,0,0,1,2,0,1,2,0,0,0
C128O2,OCCC(=C)C(=O)CC(C)(C)C(O[O])CC=O,1,0,0,2,0,0,1,0,0,0
C822OOH,OOCCC(CC=O)C(=C)C,0,0,0,1,0,0,1,0,1,0
BCLKBO2,O=CCCC(=O)C1CC(C)(C)C1CCC(=O)CO[O],1,0,0,2,0,0,2,0,0,0
IPEBO,CC([O])C(C)C,0,0,1,3,0,0,0,0,0,0
TOL1OHNO2,O=N(=O)c1cccc(C)c1O,0,0,0,1,0,0,1,0,0,0
EOX2ETB2OH,OCCOC(C)O,0,0,0,1,0,0,0,0,0,0
HO2C6O,CC(O)CCC(C)[O],0,0,1,2,0,0,0,0,0,0
CH3OCH2OOH,COCOO,0,0,0,1,0,0,0,0,1,0
C731CO3H,O=CCC(CCC(=O)OO)C(=O)C,0,0,0,1,0,1,2,0,1,0
MPRANO3OOH,OOC(C)(C)CON(=O)=O,0,0,0,2,0,0,0,1,1,0
C59O,OCC(=O)C(C)([O])CO,0,0,1,1,0,0,1,0,0,0
NBZQO,O=N(=O)OC1C(=O)C=CC(=O)C1[O],0,0,0,0,1,0,2,0,0,0
C65O2,[O]OC(C)(C=O)CC(=O)C,1,0,0,2,0,1,2,0,0,0
CO2H3MCO3H,CC(O)(C(=O)OO)C(=O)C,0,0,0,2,0,1,2,0,1,0
MECOACETO,CC(=O)OC(=O)C[O],0,0,0,1,0,0,2,0,0,0
HOIBUTCHO,CC(CC=O)CO,0,0,0,1,0,0,1,0,0,0
PEBO2,CC(CCC)O[O],1,0,0,1,0,0,0,0,0,0
PEBOH,CCCC(C)O,0,0,0,2,0,0,0,0,0,0
NTM123OLO,O=N(=O)OC1C2OOC1(C)C(=C(C)C2([O])O)C,0,0,1,3,0,0,0,0,0,0
C65OH,O=CC(C)(O)CC(=O)C,0,0,0,2,0,1,1,0,0,0
C14O3IPCHO,O=CC(=O)OC(C=O)C(C)C,0,0,0,2,0,0,2,0,0,0
DNEBNZLOOH,CCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1O,0,0,0,1,1,0,2,0,0,0
CCL3PAN,O=N(=O)OOC(=O)C(Cl)(Cl)Cl,0,0,0,0,0,0,1,0,0,0
C61NO3,CC(=O)CC(ON(=O)=O)C(C)O,0,0,0,2,0,0,2,1,0,0
HOCO3C54O2,OCCC(=O)C(C)O[O],1,0,0,1,0,0,1,0,0,0
NBUTDAO,C=CC([O])CON(=O)=O,0,0,1,1,0,0,0,1,0,0
MXNNCATCO2,[O]OC1(O)C(=C(N(=O)=O)C2(C)OOC1(C)C2ON(=O)=O)O,1,0,0,2,0,0,1,1,0,0
CLCOCLOOH,OOC(Cl)C(=O)Cl,0,0,0,0,0,0,1,0,1,0
C1311O,O=CCCC(=C)C1([O])CC(C)(C)C1CCO,0,0,1,2,0,0,0,0,0,0
C1012CO,O=CCC(C)(C)C(=O)CCC(=O)C,0,0,0,3,0,1,2,0,0,0
C6COCHOCO3,O=CCCC(=O)CC(=O)O[O],1,1,0,0,0,0,2,0,0,0
NC91PAN,O=N(=O)OOC(=O)C1(CCC2CC1C2(C)C)ON(=O)=O,0,0,0,1,0,0,1,1,0,0
C3EDIALO,CCC([O])(C=O)C=O,0,0,1,1,0,0,1,0,0,0
PTLQO,O=C1C=C(C)C(=O)C(O)C1[O],0,0,0,1,1,0,1,0,0,0
C89CO3H,O=CCC1CC(C(=O)OO)C1(C)C,0,0,0,2,0,0,1,0,1,0
CCL2CL2OOH,OOC(Cl)(Cl)C(Cl)Cl,0,0,0,0,0,0,0,0,1,0
HMVKAO,CC(=O)C(O)C[O],0,0,0,1,0,0,1,0,0,0
IPBZBIPRO2,[O]OC1C=CC2(OOC1C2O)C(C)C,1,0,0,2,1,0,0,0,0,0
C927OOH,OCCC(=C)C(=O)CC(C)(C)OO,0,0,0,2,0,0,1,0,0,0
CL12PAN,ClCC(Cl)C(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
OET1O2,CCc1c(O[O])cccc1C,1,0,0,2,0,0,0,0,0,0
HO24C4CO3H,OOC(=O)C(O)CC(C)O,0,0,0,1,0,0,1,0,1,0
C510O2,O=CC(O)C(C)(O[O])CON(=O)=O,1,0,0,1,0,0,0,1,0,0
INB1NBCHO,OCC(ON(=O)=O)C(C)(C=O)ON(=O)=O,0,0,0,1,0,0,2,2,0,0
C715O2,[O]OC(C)(C(=O)C)C(=O)C(=O)C,1,0,0,2,0,1,3,0,0,0
C67OH,O=CCC(O)C(C)(C)O,0,0,0,2,0,0,0,0,0,0
C7ADICARB,O=CC(=C(C)C(=O)C)C,0,0,0,2,0,0,1,0,0,0
C1211CO2H,OC(=O)CCC(=O)C1CC(C)(C)C1CCC(=O)O,0,0,0,2,0,0,3,0,0,0
MTBEBNO3,COC(C)(C)CON(=O)=O,0,0,0,3,0,0,0,1,0,0
PXCATECOOA,[O-][O+]=C(O)C(=C/C=C(\C)/C(=O)O)C,0,0,0,1,1,0,1,0,0,0
C1014O2,O=CCC(C)(C)C(O[O])CCC(=O)OC,1,0,0,3,0,0,1,0,0,0
HC3CO3,OCC=CC(=O)O[O],1,1,0,0,1,0,1,0,0,0
C2CL2OHO2,[O]OC(Cl)C(O)Cl,1,0,0,0,0,0,0,0,0,0
HO124C5,OCC(O)CC(C)O,0,0,0,1,0,0,0,0,0,0
C4OCCOHCOH,CC(O)C(O)C=O,0,0,0,1,0,0,0,0,0,0
C135O,OCC([O])C(=O)C(=O)C(=O)C(C)(C)C(=O)CCC(=O)C,0,0,1,3,0,1,5,0,0,0
C1011CO,CC(=O)CCC1C(=O)CC1(C)C,0,0,0,3,0,0,2,0,0,0
MO2EOLA2OH,COC(O)CO,0,0,0,1,0,0,0,0,0,0
C96OH,OCC1CC(C(=O)C)C1(C)C,0,0,0,2,0,0,1,0,0,0
C5NO3CO4O2,[O]OC(C)C(=O)C(C)ON(=O)=O,1,0,0,2,0,0,1,1,0,0
C96O2,[O]OCC1CC(C(=O)C)C1(C)C,1,0,0,2,0,0,1,0,0,0
C5NO3CO4OH,CC(O)CC(=O)CON(=O)=O,0,0,0,1,0,0,1,1,0,0
CO2M3C4CO3,CC(CC(=O)O[O])C(=O)C,1,0,0,2,0,1,2,0,0,0
PECOOH,CCC(CC)OO,0,0,0,1,0,0,0,0,0,0
C4NO3OCO,O=CC([O])C(C)ON(=O)=O,0,0,1,1,0,0,0,1,0,0
C51CO3H,CC(CC(=O)OO)C(=O)C,0,0,0,2,0,1,2,0,1,0
C4OCCOHCO2,[O]OC(C)C(O)C=O,1,0,0,1,0,0,0,0,0,0
DEC3ONE,CCCCCCCC(=O)CC,0,0,0,2,0,0,1,0,0,0
C113O,CCCCCC(O)C([O])CC(=O)CC,0,0,1,2,0,0,1,0,0,0
NPXYFUO2,[O]OC1(C)C(=O)OCC1ON(=O)=O,1,0,0,1,0,0,1,1,0,0
CH3CHCLO,CC([O])Cl,0,0,1,1,0,0,0,0,0,0
LIMALBCO,O=CCC(CCC(=O)C=O)C(=C)C,0,0,0,1,0,0,1,0,0,0
TM124OLO2,[O]OC1(O)C(=C(C)C2OOC1(C)C2O)C,1,0,0,3,0,0,0,0,0,0
C918PAN,O=N(=O)OOC(=O)C1(O)CCC2CC1C2(C)C,0,0,0,2,0,0,1,0,0,0
HO3C126O2,CCCCCCC(O[O])CCC(O)CC,1,0,0,2,0,0,0,0,0,0
PTLQOH,O=C1C=C(C)C(=O)C(O)C1O,0,0,0,1,1,0,1,0,0,0
C4CHOBO2,CCC(CC=O)O[O],1,0,0,1,0,0,1,0,0,0
C821OOH,OOC(CC(=O)C)C(=O)C(=O)C,0,0,0,1,0,1,3,0,1,0
C622OOH,OOCC(CO)C(=C)C,0,0,0,1,0,0,0,0,1,0
C4CO2O,O=CC([O])C(=O)C,0,0,1,1,0,1,1,0,0,0
C1210PAN,O=CCCC(=O)C1CC(C)(C)C1CCC(=O)OO[N+](=O)[O-],0,0,0,2,0,0,2,0,0,1
M22C3CHO,O=CCC(C)(C)C,0,0,0,3,0,0,0,0,0,0
HO2C5O2,[O]OCCCC(C)O,1,0,0,1,0,0,0,0,0,0
HC4PAN,[O-][N+](=O)OOC(=O)C(C(=C)C)O,0,0,0,0,0,0,1,0,0,1
C6NO3CO4OH,CCC(O)CC(=O)CON(=O)=O,0,0,0,1,0,0,1,1,0,0
HO2C5OH,OCCCC(C)O,0,0,0,1,0,0,0,0,0,0
ECATEC1O,CCc1cccc(O)c1[O],0,0,0,1,0,0,0,0,0,0
CHEXNO3,O=N(=O)OC1CCCCC1,0,0,0,0,0,0,0,0,0,0
CO25C6O,CC(=O)CC([O])C(=O)C,0,0,1,2,0,1,2,0,0,0
C923OOH,OOCC(CCC(=O)C)C(=C)C,0,0,0,1,0,0,1,0,1,0
HEX2ONBOOH,CC(CCC(=O)C)OO,0,0,0,1,0,0,1,0,0,0
PEBOOH,CC(CCC)OO,0,0,0,1,0,0,0,0,0,0
PTLQO2,[O]OC1C(=O)C=C(C)C(=O)C1O,1,0,0,1,1,0,2,0,0,0
HO2CO4C5,CC(O)CC(=O)C,0,0,0,2,0,1,1,0,0,0
TM124OLOH,CC1=C(C)C(O)(O)C2(C)OOC1C2O,0,0,0,3,0,0,0,0,0,0
C137NO3,OC(=O)CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],0,0,0,1,0,0,1,0,0,0
CLETO3,[O]OC(=O)CCl,1,0,0,0,0,0,1,0,0,0
HO1C6NO3,OCCCC(CC)ON(=O)=O,0,0,0,0,0,0,0,1,0,0
C1011CO2H,CC(=O)CCC1C(CC1(C)C)C(=O)O,0,0,0,2,0,0,2,0,0,0
C924OH,OCC(CC(O)C(=O)C)C(=C)C,0,0,0,1,0,0,1,0,0,0
C830PAN,O=CCC1C(CC1(C)C)C(=O)OO[N+](=O)[O-],0,0,0,1,0,0,1,0,0,1
C920PAN,OCC(=O)C1CC(CC(=O)OON(=O)=O)C1(C)C,0,0,0,2,0,0,3,1,0,0
NMBOBO,[O]CC(ON(=O)=O)C(C)(C)O,0,0,0,2,0,0,1,1,0,0
PR2OHMOOOH,COC(OO)C(C)O,0,0,0,2,0,0,0,0,1,0
C53OH2OOH,CCC(O)C(C)OO,0,0,0,2,0,0,0,0,0,0
PROH2MOX,COC(O)C(C)O,0,0,0,2,0,0,0,0,0,0
C622O,[O]CC(CO)C(=C)C,0,0,0,1,0,0,0,0,0,0
APINAO,OC1CC2CC(C1(C)[O])C2(C)C,0,0,1,3,0,0,0,0,0,0
C924O2,OCC(CC(O[O])C(=O)C)C(=C)C,1,0,0,1,0,0,1,0,0,0
DMPHO2,[O]Oc1cc(C)cc(C)c1,1,0,0,2,0,0,0,0,0,0
C126OH,OCCC(=C)C1CC(C)(C)C1CC=O,0,0,0,2,0,0,0,0,0,0
IPRHOCO3H,OOC(=O)C(C)(C)O,0,0,0,2,0,0,1,0,1,0
ETHFORMNO3,O=COC(C)ON(=O)=O,0,0,0,1,0,0,0,1,0,0
DIEKBOOH,CCC(=O)CCOO,0,0,0,1,0,0,1,0,1,0
C619O2,[O]OC1CC(=O)CCC1=O,1,0,0,0,0,0,1,0,0,0
CL12PRCOH,OC(Cl)C(C)Cl,0,0,0,1,0,0,0,0,0,0
PBZMUCO,CCCC(=O)C([O])C(O)C1OC1C=O,0,0,1,1,0,0,1,0,0,0
NOPINBO,O=C1CCC2C([O])C1C2(C)C,0,0,1,2,0,0,0,0,0,0
TM124BPAN,O=N(=O)OOC(=O)c1ccc(C)c(C)c1,0,0,0,2,0,0,1,0,0,0
C817NO3,CC(=O)CCC(CO[N+](=O)[O-])C(=O)C,0,0,0,2,0,1,2,0,0,0
SBUACCOH,CC(=O)OC(C)(O)C(=O)C,0,0,0,3,0,1,2,0,0,0
NONNO3,CCCCCCC(CC)ON(=O)=O,0,0,0,1,0,0,0,1,0,0
C5DBECO3H,OOC(=O)C=C(CC)C(=O)C(=O)C,0,0,0,1,1,1,3,0,1,0
C64NO335CO,CCC(=O)C(ON(=O)=O)C(=O)C,0,0,0,2,0,1,3,1,0,0
PTLQOOH,OOC1C(=O)C=C(C)C(=O)C1O,0,0,0,1,1,0,2,0,1,0
EMALANHYO2,CCC1(O[O])C(O)C(=O)OC1=O,1,0,0,1,0,0,1,0,0,0
HO3C116O,CCCCCC([O])CCC(O)CC,0,0,1,2,0,0,0,0,0,0
CL12PRCO2,CC(Cl)C(Cl)O[O],1,0,0,1,0,0,0,0,0,0
C6CO2OHCO3,CC(=CC(=O)O[O])C(=O)C(O)C=O,1,0,0,1,0,0,2,0,0,0
C6M5CO2O,O=CC(C)([O])C=CC(=O)C,0,0,1,2,1,1,1,0,0,0
TM123BCO2H,OC(=O)c1cccc(C)c1C,0,0,0,2,0,0,1,0,0,0
HOACETEOOH,OOC(C)OC(=O)CO,0,0,0,1,0,0,1,0,1,0
C7ODLBCO3H,CCC(=O)C=C(CC)C(=O)OO,0,0,0,1,1,0,2,0,0,0
C83OOH,CCC(=O)C(=O)C(OO)C(=O)CC,0,0,0,2,0,0,3,0,1,0
C4MOHOPAN,O=N(=O)OOC(=O)C(O)C(=O)C(C)C,0,0,0,2,0,0,2,0,0,0
M2PE,CCCC(C)C,0,0,0,3,0,0,0,0,0,0
C51NO3,OCC(CC(=O)C)ON(=O)=O,0,0,0,0,0,0,1,1,0,0
C628OOH,O=CCC(CO)(OO)C(=O)C,0,0,0,1,0,1,1,0,0,0
C628OOA,O=CCC(CO)C(=[O+][O-])C,0,0,0,1,0,0,0,0,0,0
EBENZOLO,CCC12OOC(C2O)C([O])(O)C=C1,0,0,1,1,1,0,0,0,0,0
CH3COCO2H,OC(=O)C(=O)C,0,0,0,1,0,1,2,0,0,0
C142OOH,OCCC(=C)C1(OO)CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,1,0,0,0
ENCATECO2,[O]OC1(O)C(=C(N(=O)=O)C2OOC1(CC)C2O)O,1,0,0,0,0,0,1,0,0,0
C6CYTONOOH,OOC1C(=O)CC(=O)CC1=O,0,0,0,0,0,0,2,0,1,0
C6125CO,O=CC(=O)C=CC(=O)C,0,0,0,1,1,1,2,0,0,0
BZFUOH,OC1C(O)COC1=O,0,0,0,0,0,0,0,0,0,0
C513O,[O]C(C=O)C(=O)CCO,0,0,0,0,0,0,2,0,0,0
NC3CHO,O=CC=CCON(=O)=O,0,0,0,0,1,0,0,1,0,0
PXYBIPENO3,O=N(=O)OC1(C)C=CC2(C)OOC1C2O,0,0,0,2,1,0,0,0,0,0
BZFUO2,[O]OC1C(O)COC1=O,1,0,0,0,0,0,0,0,0,0
CH3CO3,CC(=O)O[O],1,1,0,1,0,0,1,0,0,0
DIEKBO2,CCC(=O)CCO[O],1,0,0,1,0,0,1,0,0,0
PMALANHYO2,CCCC1(O[O])C(=O)OC(=O)C1O,1,0,0,1,0,0,2,0,0,0
C813NO3,OCC(CC(=O)C(=O)O)C(C)(C)ON(=O)=O,0,0,0,2,0,0,1,1,0,0
CO356C9,CCCC(=O)C(=O)CC(=O)CC,0,0,0,2,0,0,3,0,0,0
ACETC2CO3H,OOC(=O)CCOC(=O)C,0,0,0,1,0,1,2,0,1,0
HO3CO6C7,CCC(O)CCC(=O)C,0,0,0,2,0,1,1,0,0,0
C1014OOH,O=CCC(C)(C)C(OO)CCC(=O)OC,0,0,0,3,0,0,1,0,1,0
TM124BNO3,O=N(=O)OCc1ccc(C)c(C)c1,0,0,0,2,0,0,0,0,0,0
CHEX,C1CCCCC1,0,0,0,1,0,0,0,0,0,0
HO3CO6C8,CCC(O)CCC(=O)CC,0,0,0,2,0,0,1,0,0,0
HOC2H4CO2H,OCCC(=O)O,0,0,0,0,0,0,1,0,0,0
C116O2,[O]OCCC(=O)C1CC(C)(C)C1CC=O,1,0,0,2,0,0,1,0,0,0
PE2ENEAO,CCC([O])C(C)O,0,0,1,2,0,0,0,0,0,0
BUTDCO2,OC(CO[O])C=C,1,0,0,1,0,0,0,0,0,0
C1013CO3H,COC(=O)CCC1C(CC1(C)C)C(=O)OO,0,0,0,2,0,0,2,0,0,0
C2CL2OHOOH,OOC(Cl)C(O)Cl,0,0,0,0,0,0,0,0,1,0
BZFUONOOA,[O-][O+]=CC(=O)OCC=O,0,0,0,0,0,0,1,0,0,0
C729OOH,OOCC(CC=O)C(=C)C,0,0,0,1,0,0,1,0,1,0
CCLNO3COOH,OOCC(Cl)ON(=O)=O,0,0,0,0,0,0,0,1,1,0
PXYOLOOH,OOC1(O)C=C(C)C2OOC1(C)C2O,0,0,0,2,1,0,0,0,1,0
PR2OHMOXO2,COC(O[O])C(C)O,1,0,0,2,0,0,0,0,0,0
PXYL1OOH,OOc1ccc(C)cc1,0,0,0,1,0,0,0,0,1,0
HC4CCHO,CC(=CCO)C=O,0,0,0,1,0,0,0,0,0,0
MMFNO3,O=COC(OC)ON(=O)=O,0,0,0,0,0,0,0,1,0,0
C718OOH,OOCCC(=O)C(C)(C)C=O,0,0,0,2,0,0,1,0,1,0
CHOOCH2O,[O]COC=O,0,0,0,0,0,0,0,0,0,0
C75O2,[O]OC(CC(=O)C)C(C)C,1,0,0,2,0,0,1,0,0,0
OTCTEC1OOH,CCc1c(C)ccc(O)c1OO,0,0,0,2,0,0,0,0,0,0
C1010O,O=CCCC(=C)C(=O)CC(C)(C)[O],0,0,1,2,0,0,1,0,0,0
C5H11CO3H,CCCCCC(=O)OO,0,0,0,1,0,0,1,0,0,0
MXY1O,Cc1ccc([O])c(C)c1,0,0,1,2,0,0,0,0,0,0
C116OH,OCCC(=O)C1CC(C)(C)C1CC=O,0,0,0,2,0,0,1,0,0,0
C54CO3,CC(CCC)C(=O)O[O],1,1,0,1,0,0,1,0,0,0
HC4CHO,CC(=C)C(C=O)O,0,0,0,1,0,0,1,0,0,0
C617CO3H,OOC(=O)CC(=O)C(C)(C)C=O,0,0,0,2,0,0,2,0,1,0
NIPBNZ1OOH,OOc1c(cccc1N(=O)=O)C(C)C,0,0,0,2,0,0,1,0,1,0
C122OOH,CCCCCCCC(O)CC(=O)C(C)OO,0,0,0,2,0,0,1,0,0,0
TMB1FUO,O=C1OC(C)C(C)([O])C1O,0,0,1,2,0,0,0,0,0,0
HC4CCO3,OCC=C(C)C(=O)O[O],1,1,0,1,1,0,1,0,0,0
HOACETETO,OCC(=O)OC(C)[O],0,0,1,1,0,0,1,0,0,0
C6COCHOPAN,O=CCCC(=O)CC(=O)OON(=O)=O,0,0,0,0,0,0,2,1,0,1
PHCOETO,O=C(C(C)[O])c1ccccc1,0,0,1,1,0,0,0,0,0,0
C630O,OCCC(=C)C(=O)C[O],0,0,0,0,0,0,1,0,0,0
BOXPROANO3,CCCC(OCC(=O)C)ON(=O)=O,0,0,0,1,0,0,1,1,0,0
COHM2CO2H,O=CC(C)(O)C(=O)O,0,0,0,1,0,0,1,0,0,0
C816CO3,[O]OC(=O)C(CCC(=O)C)C(=C)C,1,0,0,1,0,0,2,0,0,0
M2PEAO2,CCCC(C)CO[O],1,0,0,2,0,0,0,0,0,0
C6CO3MOH,O=CC(C)(O)C(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
M2PEAOH,CCCC(C)CO,0,0,0,2,0,0,0,0,0,0
BUTDAOOH,OOCC=CCO,0,0,0,0,1,0,0,0,1,0
IPBNZOHNO2,CC(C)c1cccc(N(=O)=O)c1O,0,0,0,2,0,0,1,0,0,0
C4CHOBO,CCC([O])CC=O,0,0,1,1,0,0,0,0,0,0
C41CO2H,CC(C(=O)C)C(=O)O,0,0,0,1,0,0,2,0,0,0
DMMAOOH,COCOCOO,0,0,0,1,0,0,0,0,1,0
TMB2FUONE,CC1OC(=O)C(=C1C)C,0,0,0,2,0,0,1,0,0,0
BCKBCO,O=C1CCC(=O)C(C)(O)CCC2C1CC2(C)C,0,0,0,3,0,0,1,0,0,0
C7EDCCO,CCC(=O)C(O)C(=O)C(=O)C,0,0,0,2,0,1,3,0,0,0
C123OOH,CCCCCCC(O)C(OO)CC(=O)CC,0,0,0,2,0,0,1,0,1,0
EPXKTMCO3,CC1(OC1C(=O)O[O])C(=O)C,1,0,0,2,0,1,2,0,0,0
ME2BUT2ENE,CC=C(C)C,0,0,0,3,1,0,0,0,0,0
C132O2,OCCC(=O)C1(O[O])CC(C)(C)C1CCC(=O)C,1,0,0,3,0,1,2,0,0,0
C3DBPAN,CC=CC(=O)OON(=O)=O,0,0,0,1,1,0,1,1,0,1
MIBK3COO,CC(=O)C(=O)C(C)(C)[O],0,0,1,3,0,0,2,0,0,0
HO2C4O,[O]CCC(C)O,0,0,0,1,0,0,0,0,0,0
MIBK3CO,CC(C)C(=O)C(=O)C,0,0,0,3,0,1,2,0,0,0
BUTALO2H,CC(CC=O)OO,0,0,0,1,0,0,1,0,0,0
C3DIOLO2,[O]OCC(O)CO,1,0,0,0,0,0,0,0,0,0
DMEBIPRO2,[O]OC1C(=CC2(CC)OOC1(C)C2O)C,1,0,0,2,0,0,0,0,0,0
TMBO,[O]Cc1cc(C)cc(C)c1,0,0,0,2,0,0,0,0,0,0
C137CO3,[O]OC(=O)CCC(=C)C1CC(C)(C)C1CCC(=O)O,1,0,0,2,0,0,2,0,0,0
M33C3CO3H,OOC(=O)C(C)(C)CC,0,0,0,3,0,0,1,0,1,0
CO,nan,0,0,0,0,0,0,0,0,0,0
CL,nan,0,0,0,0,0,0,0,0,0,0
M2PEAOOH,CCCC(C)COO,0,0,0,2,0,0,0,0,1,0
C512PAN,O=CCC(=O)CCC(=O)OON(=O)=O,0,0,0,0,0,0,2,1,0,1
C1313O,O=CCCC([O])(CO)C1CC(C)(C)C1CC=O,0,0,1,2,0,0,0,0,0,0
C132OH,OCCC(=O)C1(O)CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,2,0,0,0
NPROPOL,CCCO,0,0,0,1,0,0,0,0,0,0
M2C43CO3H,OOC(=O)C(C)C(C)C,0,0,0,3,0,0,1,0,1,0
C517CHO,O=CCC(CO)C(=O)C,0,0,0,1,0,1,1,0,0,0
HO6C7O2,CCCCCC(O)CO[O],1,0,0,1,0,0,0,0,0,0
NPXYQO,O=N(=O)OC1C(=O)C(=CC(=O)C1(C)[O])C,0,0,1,2,0,0,2,0,0,0
C65NO3CO2H,CCCCC(ON(=O)=O)C(=O)O,0,0,0,1,0,0,1,1,0,0
MCOCOMOX,COC(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
TLEMUCPAN,O=N(=O)OOC(=O)C1OC1C=CC(=O)C,0,0,0,1,1,1,2,0,0,0
C109CO,O=CCC1CC(C(=O)C=O)C1(C)C,0,0,0,2,0,0,1,0,0,0
C6CONO3OOH,OOC(C)CC(=O)C(C)ON(=O)=O,0,0,0,2,0,0,1,1,1,0
METLMUCO,CC1(OC1C(O)C([O])C(=O)CC)C=O,0,0,1,1,0,0,1,0,0,0
CATEC1O2,[O]Oc1ccccc1O,1,0,0,0,0,0,0,0,0,0
ACCOCOC2H5,CCC(=O)C(=O)OC(=O)C,0,0,0,2,0,1,2,0,0,0
C2H5NO3,CCON(=O)=O,0,0,0,1,0,0,0,1,0,0
C729CHO,O=CCC(CC=O)C(=C)C,0,0,0,1,0,0,1,0,0,0
C721O,OC(=O)C1CC([O])C1(C)C,0,0,1,2,0,0,1,0,0,0
HO2MC5O,[O]CC(C)CC(C)O,0,0,0,2,0,0,0,0,0,0
IPRGLYOX,O=CC(=O)C(C)C,0,0,0,2,0,0,1,0,0,0
CO24C6,CCC(=O)CC(=O)C,0,0,0,2,0,1,2,0,0,0
CO24C5,CC(=O)CC(=O)C,0,0,0,2,0,1,2,0,0,0
NOPINBNO3,O=N(=O)OC1C2CCC(=O)C1C2(C)C,0,0,0,2,0,0,1,0,0,0
HO3C5O2,CCC(O)CCO[O],1,0,0,1,0,0,0,0,0,0
NOXYOL1O,O=N(=O)c1ccc(C)c(C)c1[O],0,0,0,2,0,0,1,0,0,0
C7DDCPAN,CCC(=O)C=C(C)C(=O)OON(=O)=O,0,0,0,2,1,0,2,1,0,1
IBUDIALPAN,O=CC(C)C(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
M2HEXBO2,CCCCC(C)(C)O[O],1,0,0,3,0,0,0,0,0,0
H2M2C4CO3H,OOC(=O)CCC(C)(C)O,0,0,0,2,0,0,1,0,1,0
NBUTOLAO2,CCC(CO)O[O],1,0,0,1,0,0,0,0,0,0
C4NO32M2O2,CCC(C)(O[O])CON(=O)=O,1,0,0,2,0,0,0,1,0,0
C916O,O=CCCC(=O)C(C=O)C(C)(C)[O],0,0,1,2,0,0,2,0,0,0
INAHPCHO,OOC(C)(C=O)C(O)CON(=O)=O,0,0,0,1,0,0,1,1,1,0
C137O,[O]CCC(=C)C1CC(C)(C)C1CCC(=O)O,0,0,0,2,0,0,1,0,0,0
C829O,OCCC(=O)C(=O)CC(C)(C)[O],0,0,1,2,0,0,2,0,0,0
NBUTOLAOH,CCC(O)CO,0,0,0,1,0,0,0,0,0,0
DDECOOH,CCCCCCCCCC(CC)OO,0,0,0,1,0,0,0,0,0,0
M2HEXBOH,CCCCC(C)(C)O,0,0,0,3,0,0,0,0,0,0
MACROOH,OCC(C)(OO)C=O,0,0,0,1,0,0,0,0,0,0
C716O,O=CCC(=O)CC([O])C(=O)C,0,0,1,1,0,1,2,0,0,0
C111O,CCCCCCC([O])CC(=O)CC,0,0,1,2,0,0,1,0,0,0
TC4H9OOH,OOC(C)(C)C,0,0,0,3,0,0,0,0,1,0
C4MDIAL,O=CC=C(C)C=O,0,0,0,1,1,0,0,0,0,0
PR1O2HNO3,OOCC(C)ON(=O)=O,0,0,0,1,0,0,0,1,1,0
ETBEACO3,CCOC(C)(C)C(=O)O[O],1,1,0,3,0,0,1,0,0,0
PGLYOXOH,CCCC(=O)C(=O)O,0,0,0,1,0,0,1,0,0,0
C4CHOBOOH,CCC(CC=O)OO,0,0,0,1,0,0,1,0,0,0
TLEMUCO2,[O]OC(C(=O)C)C(O)C1OC1C=O,1,0,0,0,0,0,1,0,0,0
PXYFUONE,O=C1OCC=C1C,0,0,0,1,1,0,0,0,0,0
PNCATECOOH,CCCC12OOC(C(=C(O)C2(O)OO)N(=O)=O)C1O,0,0,0,1,0,0,1,0,0,0
BCKAO,O=C1CCC(O)C(C)([O])CCC2C1CC2(C)C,0,0,1,3,0,0,0,0,0,0
CO24C53O2,[O]OC(C(=O)C)C(=O)C,1,0,0,1,0,1,2,0,0,0
NDNPHENO2,[O]OC1(O)C(=CC2(OOC1C2ON(=O)=O)N(=O)=O)N(=O)=O,1,0,0,0,0,0,0,1,0,0
C5MEJPAN,O=CC(O)C(=O)C(=C(C)C(=O)OON(=O)=O)CC,0,0,0,2,0,0,3,1,0,0
NDMEPHOLOH,CCC12OOC(C)(C=C(C)C2(O)O)C1ON(=O)=O,0,0,0,3,1,0,0,1,0,0
NMETOLOOH,CCC12OOC(C)(C2ON(=O)=O)C(O)(OO)C=C1,0,0,0,2,1,0,1,1,0,0
PTCATECOOA,CCC(=C/C=C(\C)/C(=O)O)C(=[O+][O-])O,0,0,0,1,1,0,1,0,0,0
CO25C6CHO,O=CCC(=O)CCC(=O)C,0,0,0,1,0,1,2,0,0,0
C6DICARBO,CCC(=O)C([O])C(O)C=O,0,0,1,1,0,0,1,0,0,0
